"filename", "language", "go", "Shell Script", "Batch", "Properties", "env", "Protocol Buffers", "Markdown", "Go Module File", "YAML", "Ini", "Go Checksum File", "JSON", "Makefile", "Ignore", "NGINX Conf", "Database", "comment", "blank", "total"
"d:\tmp\Open-IM-Server\docker-compose_cfg\prometheus-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 1, 25, 90
"d:\tmp\Open-IM-Server\go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 77
"d:\tmp\Open-IM-Server\go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1122, 0, 0, 0, 0, 0, 0, 1, 1123
"d:\tmp\Open-IM-Server\init_docker.sh", "Shell Script", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"d:\tmp\Open-IM-Server\install_im_server.sh", "Shell Script", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"d:\tmp\Open-IM-Server\internal\api\auth\auth.go", "go", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 16, 236
"d:\tmp\Open-IM-Server\internal\api\client_init\init_config.go", "go", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 76
"d:\tmp\Open-IM-Server\internal\api\conversation\conversation.go", "go", 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 14, 329
"d:\tmp\Open-IM-Server\internal\api\friend\friend.go", "go", 477, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 57, 679
"d:\tmp\Open-IM-Server\internal\api\group\group.go", "go", 963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 254, 116, 1333
"d:\tmp\Open-IM-Server\internal\api\group\super_group.go", "go", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 90
"d:\tmp\Open-IM-Server\internal\api\manage\management_chat.go", "go", 440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 22, 508
"d:\tmp\Open-IM-Server\internal\api\manage\management_user.go", "go", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 15, 199
"d:\tmp\Open-IM-Server\internal\api\msg\del_msg.go", "go", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 17, 275
"d:\tmp\Open-IM-Server\internal\api\msg\get_max_min_seq.go", "go", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 66
"d:\tmp\Open-IM-Server\internal\api\msg\pull_msg.go", "go", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 75
"d:\tmp\Open-IM-Server\internal\api\msg\send_msg.go", "go", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 104
"d:\tmp\Open-IM-Server\internal\api\office\tag.go", "go", 344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 23, 451
"d:\tmp\Open-IM-Server\internal\api\office\work_moments.go", "go", 542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 31, 672
"d:\tmp\Open-IM-Server\internal\api\organization\organization.go", "go", 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 45, 697
"d:\tmp\Open-IM-Server\internal\api\third\ali_oss_credential.go", "go", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 102
"d:\tmp\Open-IM-Server\internal\api\third\aws_storage_credential.go", "go", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 77
"d:\tmp\Open-IM-Server\internal\api\third\fcm_update_token.go", "go", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 50
"d:\tmp\Open-IM-Server\internal\api\third\minio_init.go", "go", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 102
"d:\tmp\Open-IM-Server\internal\api\third\minio_storage_credential.go", "go", 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 278
"d:\tmp\Open-IM-Server\internal\api\third\rtc.go", "go", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 97
"d:\tmp\Open-IM-Server\internal\api\third\set_app_badge.go", "go", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"d:\tmp\Open-IM-Server\internal\api\third\tencent_cloud_storage_credential.go", "go", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 7, 79
"d:\tmp\Open-IM-Server\internal\api\user\user.go", "go", 430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 25, 516
"d:\tmp\Open-IM-Server\internal\cms_api\admin\admin.go", "go", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 187
"d:\tmp\Open-IM-Server\internal\cms_api\friend\friend.go", "go", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 64
"d:\tmp\Open-IM-Server\internal\cms_api\group\group.go", "go", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 110
"d:\tmp\Open-IM-Server\internal\cms_api\message_cms\message.go", "go", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
"d:\tmp\Open-IM-Server\internal\cms_api\middleware\cors.go", "go", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"d:\tmp\Open-IM-Server\internal\cms_api\middleware\jwt_auth.go", "go", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 27
"d:\tmp\Open-IM-Server\internal\cms_api\prome.go", "go", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\tmp\Open-IM-Server\internal\cms_api\router.go", "go", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 83
"d:\tmp\Open-IM-Server\internal\cms_api\statistics\statistics.go", "go", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 279
"d:\tmp\Open-IM-Server\internal\cms_api\user\user.go", "go", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 197
"d:\tmp\Open-IM-Server\internal\cron_task\clear_msg.go", "go", 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 201
"d:\tmp\Open-IM-Server\internal\cron_task\clear_msg_test.go", "go", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"d:\tmp\Open-IM-Server\internal\cron_task\cron_task.go", "go", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 81
"d:\tmp\Open-IM-Server\internal\cron_task\test\main.go", "go", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 7
"d:\tmp\Open-IM-Server\internal\demo\register\CreateTencentSMSClient_test.go", "go", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\tmp\Open-IM-Server\internal\demo\register\ali_sms.go", "go", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 60
"d:\tmp\Open-IM-Server\internal\demo\register\check_login.go", "go", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 90
"d:\tmp\Open-IM-Server\internal\demo\register\invitation_code.go", "go", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 124
"d:\tmp\Open-IM-Server\internal\demo\register\ip_limit.go", "go", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 24, 226
